date,session,word,meaning,synonym_1,synonym_2,sentence_1,sentence_2
23-04-2021,2,surmise,(n) suppose something is true without having evidence to confirm it,guess,conjecture,I surmised that he is the culprit and hence neglected the obvious facts,-
23-04-2021,2,lackadaisical,(adj) lacking enthusiasm and determination,-,-,A lackadaisical defence made the team lose the match even after having the best players,-
23-04-2021,2,astringent,(adj) harsh; severe (especially for skin tissues),acerbic,-,Bob tends to nick himself when he shaves so he has to use an astringent aftershave to stop the bleeding,-
23-04-2021,2,treatise,(n) an article treating a subject systematically,disquisition,-,The gist of the treatise by the philosopher is that reality is unknown to human mind,-
23-04-2021,2,fulminate,(v) to attack loudly; publically declare wrong or evil,denounce,-,The senator fulminated against the foreign countries meddling in the bussiness of America,-
23-04-2021,2,impassive,(adj) showing no emotion,expressionless,inscrutable,The interviewer sat with an impassive face the entire time to see if I can handle difficult clients,-
23-04-2021,2,fulsome,(adj) so excessive as to be disgusting,-,-,The actor was embarrassed by the fulsome praise he received after winning the award,-
23-04-2021,2,avuncular,(adj) kind and friendly towards a younger as less experienced person,benevolent,-,The avuncular manner of the manager made the team to excel as they were happy to work with him,-
23-04-2021,2,appropriate,(v) take (something) for ones own use usually without asking the owner,sieze,usurp,The invading army appropriated supplies from the houses of the local people,-
23-04-2021,2,collage,(n) artistic collection of materials pasted on a surface; collection,-,-,She used many photographs to create a collage and gifted It to her boyfriend,-
23-04-2021,2,abdicate,(v) to give up a position right or power,resign,quit,Bahadur Shah Zafar was forced to abdicate his throne by the British,-
23-04-2021,2,asperity,(n) harshness in tone or manner,severity,acerbity,Even after being caught red handed she went to the police and said with some asperity that she has to call her lawyer,-
23-04-2021,2,supine,(adj) lying face upwards,-,-,The captured robbery suspects were held supine on the floor,-
23-04-2021,2,asylum,(n) place of refuge or shelter,refuge,sanctuary,Rani Laxmibai seeked asylum from the King of Kalpi when she was being chased by the British,-
23-04-2021,2,erudite,(adj) learned; scholarly; having great knowledge,-,-,Einstein was one of the most erudite person who ever lived,-
23-04-2021,2,plasticity,(n) quality of being easily shaped or moulded,pliability,-,Psychologists are always amused by the plasticity of human mind,-
23-04-2021,2,esoteric,(adj) hard to understand; known only to a few,abstruce,obscure,In The Lost Symbol only the Secret Masons knew the esoteric powers of the pyramid,-
23-04-2021,2,seismic,(adj) relating to earthquakes,-,-,Study od seismic waves helps us to understand earth surface and its internal structure,-
23-04-2021,2,blandishment,(n) flattery,cajolery,caoaxing,Despite the blandishment by the salesman Donna did not buy the car,-
23-04-2021,2,distil,(v) extract the essential elements,refine,filter,You should distil the water before using it in car batteries,-
24-04-2021,1,libido,(n) sexual desire,passion,lust,Libido in males peak at the age of 18,-
24-04-2021,1,impinge,(v) advance over an area belonging to someone else,encroach,infringe,Chimpanzees from outside the group impringing upon the territory are often met with aggression,-
24-04-2021,1,detraction,(n) derogatory comment on the character of a person,disparagement,-,The writer responded in an email to the critics long list of detractions about the book,-
24-04-2021,1,negate,(v) to cancel out,nullify,invalidate,The poor treatment of the suspect by the police negated any goodwill they had built up among the population,-
24-04-2021,1,converge,(v) to approach; tend to meet,coincide,intersect,Although India and China are rivals in certain areas their interests converge,-
24-04-2021,1,aberrant,(adj) deviating from what is normal,deviant,anomolous,When the behaviour of a person becomes aberrant his friends must take him to the Doctor,-
24-04-2021,1,fusion,(adj) union followed by synthesis,blend,amalgamation,A hydrogen bomb requires tremendous heat the fusion reaction,-
24-04-2021,1,litany,(n) lengthy recitation; repititive chant,recitation,enumeration,Students listened intently to the litany of the grammatical errors committed by them from the teacher,-
24-04-2021,1,penury,(n) extreme poverty,impoverishment,-,The autobiography tells the story of the billionaires journey from penury to riches beyond his imagination,-
24-04-2021,1,essay,(v) attempt or try,venture,-,The dancer began working with Jazz a form she had not previously essayed,-
24-04-2021,1,convex,(adj) curved outward,bulging,protuberant,Hypermetropia is treated using a convex lens,-
24-04-2021,1,stolid,(adj) having or showing little emotion,impassive,phlegmatic,Behind the stolid appearance of the professor is a fun loving and gregorious character,-
24-04-2021,1,gregorious,(adj) fond of company; sociable,convivial,-,Human beings are the most gregarious creatures and are hence living in established societies,-
24-04-2021,1,inherent,(adj)  firmly established by nature or habit,intrinsic,inmate,Even for completely random systems an inherent order exists in the nature,-
24-04-2021,1,dormant,(adj) inactive,-,-,Some microbes can remain dormant in the host body for days and then activate suddenly,-
24-04-2021,1,belie,(v) give a false impression,misrepresent,contradict,Boxers childlike face belies the ferocity with which he attacks the opponent,-
24-04-2021,1,mnemonic,(adj) assisting memory,-,-,Mnemonics can be used to easily remember a periodic table,-
24-04-2021,1,affected,(adj) artificial and designed to impress,phony,pretentious,Too much emphasis on proper english leads to unnatural and affected speech,-
24-04-2021,1,fauna,(n) animals of a period or region,-,-,When humans introduce fauna from one habitat to another the ecological balance is disturbed,-
24-04-2021,1,Lilliputian,(adj) extremely small,miniature,-,Microbiologists study Lilliputian organisms,-
24-04-2021,2,imbibition,(n) absorption of one substance by another,ingestion,absorption,The imbibition of water through the membrane makes the cell to swell up,-
24-04-2021,2,lugubrious,(adj) looking and sounding sad and dismal,mournful,gloomy,His face looked lugubrious after he failed the examination,-
24-04-2021,2,lucubration,(n) writing or study,-,-,After ten years of lucubration his research paper was finally published,-
24-04-2021,2,magnanimous,"(adj) generous or forgiving, especially towards a rival or less powerful person",generous,charitable,Alexander The Great was magnanimous towards Porus after defeating him in the battle,-
24-04-2021,2,mettle,(n) ability of a person to cope up with difficulty,spirit,resilience,"After performing poorly in first half, the team showed their true mettle in the second half and won the match",-
24-04-2021,2,delectable,(adj) delicious; extremely attractive (in a humurous way),appetizing,mouth-watering,In a five star restaurant you expect nothing but a delectable dish,"In the trek, the group visited the delectable mountains which were soothing to the eyes"
24-04-2021,2,mercurial,(adj) sudden or unpredicatable change in mood or mind,temperamental,capricious,"Entering his teenage years, Vaibhav started experiencing quite mercurial moods",-
24-04-2021,2,supplant,(v) supersede or replace,displace,supersede,Small shops have been supplanted by online stores,-
24-04-2021,2,indefatigable,(adj) persisting tirelessly (or a person or their efforts),unwearied,untiring,Sunderlal Bahuguna was an indefatigable defender of the environment,-
24-04-2021,2,refractory,(adj) stubborn or unmanageable,obstinate,mulish,The refractory farmers prevented the farm bills to come into effect,-
24-04-2021,2,ubiquitous,(adj) present or found everywhere,omnipresent,-,The priest said that God is ubiquitous and the entire world is his home,-
24-04-2021,2,volubility,(n) quality of taking fluently and readily,talkativeness,loquacity,He recalls how impressed he was as a child by the volubility of his uncles marathon conversations,-
24-04-2021,2,accolade,(n) award or privilege granted as a special honour,honor,recognition,Because of its amazing services and customer centricity the hotel has received many accolades,-
24-04-2021,2,iconoclastic,(adj) criticizing cherished beliefs or institutions,sceptical,heretical,Books by Ayn Rand were extremely iconoclastic in her time as they mentioned woman liberty,-
24-04-2021,2,impugn,(v) dispute truth and validity; call into question,challenge,-,The husband impugned the capacity of his wife as a mother in order to get the custody of the child,-
24-04-2021,2,indigent,(adj) poor; needy,impecunious,destitute,Everyone donated a charity for the relief of the indigent artists,-
24-04-2021,2,indictment,(n) formal charge or accusation of a serious crime,-,-,The lawyer made an indictment for conspiracy against Laura,-
24-04-2021,2,prodigious,"(adj) remarkably great in extent, size or degree",enormous,colossal,Harshad Mehta earned a prodigious amount of money from the 1996 scam,-
24-04-2021,2,reprobate,(n) a morally unprincipled person,rogue,scoundrel,In Batman Bruce Wayne pretended to be a reprobate in public but in private he saved the world,-
24-04-2021,2,equivocation,(n) use of ambiguous language to conceal the truth,prevarication,-,The ministers speech was filled with equivocation and hence the public was doubtful about it,-
25-04-2021,1,clamor,"(n) loud and confused noise, especially of people shouting",tumult,uproar,Over past 12 years the voices clamoring for protection of oceans have increased dramatically,-
25-04-2021,1,futile,(adj) incapable of producing any fruitful results,ineffective,fruitless,To some people philosophy seems futile as it does not produce any tangible results,-
25-04-2021,1,alloy,(n) mixture of two or more metals,amalgam,blend,Brass is an alloy of copper and zinc,-
